customerGroupId,STYLECODE,PRODUCT_NAME,COMPOSITION,FABRIC,SIZE_RANGE,COLOURS_COUNT,SHORT_DESCRIPTION,BOX_QTY,PRICE,BASE_SALE_PRICE,TIER_10_TO_49_PRICE,TIER_50_TO_99_PRICE,TIER_100_PLUS_PRICE,CATEGORY,CATEGORY_SORT,Unnamed: 12,Cost + GST,Times 1.5
3,4089,Wo's Heavy Faded Crop Tee,100% Carded Cotton,240 GSM,,,Relaxed Fit - 240 GSM,84,12.5,25.94,23.35,20.75,19.46,WOMEN'S T-SHIRTS,7000,,13.75,20.625
3,4092G,Wo's Organic Rib Tee,95% Organic Cotton  5% Elastane,330 GSM,,,Slim Fit - 330 GSM,48,15.75,32.69,29.42,26.15,24.52,WOMEN'S T-SHIRTS,7000,,17.325,25.9875
3,4093,Wo's Martina Crop Tee,100% Combed Cotton,180 GSM,,,Relaxed Fit - 180 GSM,84,7.75,16.08,14.47,12.86,12.06,WOMEN'S T-SHIRTS,7000,,8.525,12.7875
3,4094,Wo's Martina Boyfriend Tee,100% Combed Cotton,180 GSM,,,Relaxed Fit - 180 GSM,66,9.75,20.24,18.22,16.19,15.18,WOMEN'S T-SHIRTS,7000,,10.725,16.0875
3,4095,Wo's Martina V Neck Tee,100% Combed Cotton,180 GSM,,,Relaxed Fit - 180 GSM,72,8.75,18.16,16.34,14.53,13.62,WOMEN'S T-SHIRTS,7000,,9.625,14.4375
3,4100,Wo's Supply Crew,80% Cotton  20% Polyester Anti-Pill Fleece,290 GSM,,,Regular Fit - 290 GSM,18,18.5,38.4,34.56,30.72,28.8,WOMEN'S CREW FLEECE,8250,,20.35,30.525
3,4101,Wo's Supply Hood,80% Cotton  20% Polyester Anti-Pill Fleece,290 GSM,,,Regular Fit - 290 GSM,12,19.5,40.47,36.42,32.38,30.35,WOMEN'S HOODED FLEECE,8200,,21.45,32.175
3,4102,Wo's Stencil Hood,80% Cotton  20% Recycled Polyester Anti-Pill Fleece,350 GSM,,,Regular Fit - 350 GSM,12,29.5,61.23,55.11,48.98,45.92,WOMEN'S HOODED FLEECE,8200,,32.45,48.675
3,4125,Wo's Stencil Half Zip Crew,80% Cotton  20% Polyester Anti-Pill Fleece,350 GSM,,,Regular Fit - 350 GSM,18,26.5,55.0,49.5,44.0,41.25,WOMEN'S ZIP FLEECE,8255,,29.15,43.725
3,4145,Wo's Heavy Crew,CVC Fleece  80% Cotton  20% Polyester,400 GSM,,,Oversized Fit - 400 GSM,12,28.95,60.08,54.07,48.06,45.06,WOMEN'S CREW FLEECE,8250,,31.845,47.7675
3,4146,Wo's Heavy Hood,CVC Fleece  80% Cotton  20% Polyester,400 GSM,,,Oversized Fit - 400 GSM,12,31.5,65.38,58.84,52.3,49.04,WOMEN'S HOODED FLEECE,8200,,34.65,51.975
3,4160,Wo's Relax Crew,80% Cotton  20% Recycled Polyester Anti-Pill Fleece,320 GSM,,,Relaxed Fit - 320 GSM,18,21.95,45.56,41.0,36.45,34.17,WOMEN'S CREW FLEECE,8250,,24.145,36.2175
3,4161,Wo's Relax Hood,80% Cotton  20% Recycled Polyester Anti-Pill Fleece,320 GSM,,,Relaxed Fit - 320 GSM,10,25.95,53.86,48.47,43.09,40.39,WOMEN'S HOODED FLEECE,8200,,28.545,42.8175
3,4162,Wo's Relax Zip Hood,80% Cotton  20% Recycled Polyester Anti-Pill Fleece,320 GSM,,,Relaxed Fit - 320 GSM,10,29.95,62.16,55.94,49.73,46.62,WOMEN'S ZIP FLEECE,8255,,32.945,49.4175
3,4164,Wo's Relax Half Zip Hood,80% Cotton  20% Recycled Polyester Anti-Pill Fleece,320 GSM,,,Relaxed Fit - 320 GSM,10,27.95,58.01,52.21,46.41,43.51,WOMEN'S ZIP FLEECE,8255,,30.745,46.1175
3,4165,Wo's Relax Faded Crew,80% Cotton  20% Recycled Polyester Fleece,320 GSM,,,Relaxed Fit - 320 GSM,18,22.95,47.63,42.87,38.1,35.72,WOMEN'S CREW FLEECE,8250,,25.245,37.8675
3,4166,Wo's Relax Faded Hood,80% Cotton  20% Recycled Polyester Fleece,320 GSM,,,Relaxed Fit - 320 GSM,10,26.95,55.93,50.34,44.74,41.95,WOMEN'S HOODED FLEECE,8200,,29.645,44.4675
3,4167,Wo's Relax Faded Half Zip,80% Cotton  20% Recycled Polyester Fleece,320 GSM,,,Relaxed Fit - 320 GSM,18,27.95,58.01,52.21,46.41,43.51,WOMEN'S ZIP FLEECE,8255,,30.745,46.1175
3,4168,Wo's Relax Crop Hood,80% Cotton  20% Recycled Polyester Fleece,320 GSM,,,Relaxed Fit - 320 GSM,15,23.95,49.71,44.74,39.77,37.28,WOMEN'S HOODED FLEECE,8200,,26.345,39.5175
3,4169,Wo's Relax Crop Crew,80% Cotton  20% Recycled Polyester Fleece,320 GSM,,,Relaxed Fit - 320 GSM,24,21.95,45.56,41.0,36.45,34.17,WOMEN'S CREW FLEECE,8250,,24.145,36.2175
3,4170,Wo's Relax Faded Zip Hood,80% Cotton  20% Recycled Polyester Fleece,320 GSM,,,Relaxed Fit - 320 GSM,12,30.95,64.24,57.82,51.39,48.18,WOMEN'S ZIP FLEECE,8255,,34.045,51.0675
3,4171,Wo's Box Hood,80% Cotton  20% Recycled Polyester Fleece,350 GSM,,,Relaxed Fit - 350 GSM,12,29.5,61.23,55.11,48.98,45.92,WOMEN'S HOODED FLEECE,8200,,32.45,48.675
3,4402,Wo's Amy Polo,100% Combed Cotton (Marles 15% Viscose),180 GSM,,,Mid Weight,60,11.25,23.35,21.02,18.68,17.51,WOMEN'S POLO,11900,,12.375,18.5625
3,4411,Wo's Pique Polo,100% Cotton (Marles 15% Polyester),240 GSM,,,Slim Fit - Heavy Weight,60,11.25,23.35,21.02,18.68,17.51,WOMEN'S POLO,11900,,12.375,18.5625
3,4425,Wo's Active Work Polo,100% Recycled Polyester,185 GSM,,,Slim Fit - 185 GSM,72,18.5,38.4,34.56,30.72,28.8,WOMEN'S POLO,11900,,20.35,30.525
3,5001,Staple Tee,100% Combed Cotton (Marles 15% Viscose),180 GSM,,,Regular Fit - 180 GSM,72,7.95,16.5,14.85,13.2,12.38,MEN'S T-SHIRTS,1000,,8.745,13.1175
3,5001,Staple Tee (4XL),100% Combed Cotton (Marles 15% Viscose),180 GSM,,,Regular Fit - 180 GSM,48,9.5,19.72,17.75,15.78,14.79,MEN'S T-SHIRTS,1000,,10.45,15.675
3,5001,Staple Tee (5XL),100% Combed Cotton (Marles 15% Viscose),180 GSM,,,Regular Fit - 180 GSM,48,9.5,19.72,17.75,15.78,14.79,MEN'S T-SHIRTS,1000,,10.45,15.675
3,5001A,Staple Active Tee,100% Recycled Polyester,150 GSM,,,Regular FIt - 180 GSM,72,13.25,27.5,24.75,22.0,20.62,MEN'S T-SHIRTS,1000,,14.575,21.8625
3,5001C,Staple Camo Tee,100% Cotton,180 GSM,,,Regular Fit - 180 GSM,72,10.95,22.73,20.46,18.18,17.05,MEN'S T-SHIRTS,1000,,12.045,18.0675
3,5001G,Staple Organic Tee,100% Combed Organic Cotton (Marles 15% Viscose),180 GSM,,,Regular Fit - 180 GSM,72,8.25,17.12,15.41,13.7,12.84,MEN'S T-SHIRTS,1000,,9.075,13.6125
3,5001M,Staple Marle Tee,80% Cotton  20% Polyester,180 GSM,,,Regular Fit - 180 GSM,72,8.25,17.12,15.41,13.7,12.84,MEN'S T-SHIRTS,1000,,9.075,13.6125
3,5001R,Staple Raglan Tee,100% Combed Cotton (Marles 15% Viscose),180 GSM,,,Regular Fit - 180 GSM,72,8.75,18.16,16.34,14.53,13.62,MEN'S T-SHIRTS,1000,,9.625,14.4375
3,5001V,Staple V Neck Tee,100% Combed Cotton,180 GSM,,,Regular Fit - 180 GSM,72,8.25,17.12,15.41,13.7,12.84,MEN'S T-SHIRTS,1000,,9.075,13.6125
3,5005,Organic Tee,100% Organic Combed Cotton (Marles 15% Viscose),150 GSM,,,Slim Fit - 150 GSM,72,8.5,17.64,15.88,14.11,13.23,MEN'S T-SHIRTS,1000,,9.35,14.025
3,5012,Raglan Tee,100% Combed Cotton (Marles 15% Viscose),150 GSM,,,Regular Fit - 150 GSM,72,9.95,20.65,18.58,16.52,15.49,MEN'S T-SHIRTS,1000,,10.945,16.4175
