customerGroupId,STYLECODE,PRODUCT_NAME,COMPOSITION,FABRIC,SIZE_RANGE,COLOURS_COUNT,SHORT_DESCRIPTION,BOX_QTY,PRICE,BASE_SALE_PRICE,TIER_10_TO_49_PRICE,TIER_50_TO_99_PRICE,TIER_100_PLUS_PRICE,CATEGORY,CATEGORY_SORT
3,3035,Youth Relax Crew,80% Cotton  20% Polyester Anti-Pill Fleece,320 GSM,,,Relaxed Fit - 320 GSM,24,19.25,48.43,43.59,38.74,36.32,KIDS SWEATSHIRTS,22000
3,3036,Kids Relax Hood,80% Cotton  20% Polyester Anti-Pill Fleece,320 GSM,,,Relaxed Fit - 320 GSM,24,19.95,50.19,45.17,40.15,37.64,KIDS SWEATSHIRTS,22000
3,3037,Youth Relax Hood,80% Cotton  20% Polyester Anti-Pill Fleece,320 GSM,,,Relaxed Fit - 320 GSM,18,22.95,57.74,51.97,46.19,43.3,KIDS SWEATSHIRTS,22000
3,3038,Kids Relax Zip Hood,80% Cotton  20% Recycled Polyester,320 GSM,,,Relaxed Fit - 320 GSM,24,21.95,55.22,49.7,44.18,41.42,KIDS SWEATSHIRTS,22000
3,3039,Youth Relax Zip Hood,80% Cotton  20% Recycled Polyester,320 GSM,,,Relaxed Fit - 320 GSM,18,24.95,62.77,56.49,50.22,47.08,KIDS SWEATSHIRTS,22000
3,3040,Kids Relax Track Pants,80% Cotton  20% Recycled Polyester,320 GSM,,,Relaxed Fit - 320 GSM,30,15.75,39.62,35.66,31.7,29.71,KIDS PANTS/SHORTS,21000
3,3041,Youth Relax Track Pants,80% Cotton  20% Recycled Polyester,320 GSM,,,Relaxed Fit - 320 GSM,24,18.75,47.17,42.45,37.74,35.38,KIDS PANTS/SHORTS,21000
3,3042,Kids Relax Track Shorts,80% Cotton  20% Recycled Polyester,320 GSM,,,Relaxed Fit - 320 GSM,42,14.5,36.48,32.83,29.18,27.36,KIDS PANTS/SHORTS,21000
3,3043,Youth Relax Track Shorts,80% Cotton  20% Recycled Polyester,320 GSM,,,Relaxed Fit - 320 GSM,42,16.5,41.51,37.36,33.21,31.13,KIDS PANTS/SHORTS,21000
3,3060,Kids Classic Tee,100% Combed Cotton (Marles 15% Viscose),220 GSM,,,Regular Fit - 220 GSM,96,6.75,16.98,15.28,13.58,12.74,KIDS T-SHIRTS,20000
3,3061,Youth Classic Tee,100% Combed Cotton (Marles 15% Viscose),220 GSM,,,Regular Fit - 220 GSM,72,8.75,22.01,19.81,17.61,16.51,KIDS T-SHIRTS,20000
3,3062,Kids Classic L/S Tee,100% Combed Cotton (Marles 15% Viscose),220 GSM,,,Regular Fit - 220 GSM,66,7.75,19.5,17.55,15.6,14.62,KIDS LONGSLEEVES,21000
3,3063,Youth Classic L/S Tee,100% Combed Cotton (Marles 15% Viscose),220 GSM,,,Regular Fit - 220 GSM,54,9.75,24.53,22.08,19.62,18.4,KIDS LONGSLEEVES,21000
3,3070,Kids Heavy Faded Tee,100% Carded Cotton,240 GSM,,,Relaxed Fit - 240 GSM,108,8.75,22.01,19.81,17.61,16.51,KIDS T-SHIRTS,20000
3,3071,Youth Heavy Faded Tee,100% Carded Cotton,240 GSM,,,Relaxed Fit - 240 GSM,90,10.75,27.04,24.34,21.63,20.28,KIDS T-SHIRTS,20000
3,4001,Wo's Maple Tee,100% Combed Cotton (Marles 15% Viscose),180 GSM,,,Regular Fit - 180 GSM,96,7.95,20.0,18.0,16.0,15.0,WOMEN'S T-SHIRTS,7000
3,4001A,Wo's Maple Active Tee,100% Recycled Polyester,150 GSM,,,Regular Fit - 180 GSM,96,12.95,32.58,29.32,26.06,24.44,WOMEN'S T-SHIRTS,7000
3,4001G,Wo's Maple Organic Tee,100% Organic Combed Cotton,180 GSM,,,Regular Fit - 180 GSM,96,8.25,20.75,18.68,16.6,15.56,WOMEN'S T-SHIRTS,7000
3,4001M,Wo's Maple Marle Tee,80% Combed Cotton  20% Polyester,180 GSM,,,Regular Fit - 180 GSM,96,7.95,20.0,18.0,16.0,15.0,WOMEN'S T-SHIRTS,7000
3,4006,Wo's Martina Tee,100% Combed Cotton,180 GSM,,,Relaxed Fit - 180 GSM,72,7.75,19.5,17.55,15.6,14.62,WOMEN'S T-SHIRTS,7000
3,4007,Wo's Dash Racerback Tank,50% Cotton  50% Modal,140 GSM,,,Racerback - Light Weight,96,7.25,18.24,16.42,14.59,13.68,WOMEN'S SINGLETS / TANKS,7500
3,4008,Wo's Mali Tee,100% Combed Cotton (Marles 15% Viscose),150 GSM,,,Regular Fit - 150 GSM,96,7.5,18.87,16.98,15.1,14.15,WOMEN'S T-SHIRTS,7000
3,4009,Wo's Mali L/S Tee,100% Combed Cotton (Marles 15% Viscose),150 GSM,,,Scoop Neck - 150 GSM,72,9.5,23.9,21.51,19.12,17.92,WOMEN'S LONGSLEEVES,8000
3,4011,Wo's Shallow Scoop Tee,100% Combed Cotton (Marles 15% Viscose),150 GSM,,,Regular Fit - 150 GSM,96,7.25,18.24,16.42,14.59,13.68,WOMEN'S T-SHIRTS,7000
3,4013,Wo's Mali Racerback,100% Combed Cotton (Marles 15% Viscose),150 GSM,,,Scoop Neck - 150 GSM,96,7.5,18.87,16.98,15.1,14.15,WOMEN'S SINGLETS / TANKS,7500
3,4014,Wo's Saturday Dress,100% Combed Cotton (Marles 15% Viscose),180 GSM,,,Relaxed Fit - Scoop Neck,66,9.25,23.27,20.94,18.62,17.45,WOMEN'S DRESSES,8500
3,4017,Wo's Maple Tank,100% Combed Cotton (Marles 15% Viscose),180 GSM,,,Regular Fit - 180 GSM,96,8.5,21.38,19.24,17.1,16.04,WOMEN'S SINGLETS / TANKS,7500
3,4019,Wo's Maple Scoop Tee,100% Combed Cotton (Marles 15% Viscose),180 GSM,,,Regular Fit - 180 GSM,84,7.95,20.0,18.0,16.0,15.0,WOMEN'S T-SHIRTS,7000
3,4020,Wo's Maple L/S Tee,100% Combed Cotton (Marles 15% Viscose),180 GSM,,,Regular Fit - 180 GSM,72,10.25,25.79,23.21,20.63,19.34,WOMEN'S LONGSLEEVES,8000
3,4020A,Wo's Maple Active L/S Tee,100% Recycled Polyester,150 GSM,,,Regular Fit - 180 GSM,72,14.75,37.11,33.4,29.69,27.83,WOMEN'S LONGSLEEVES,8000
3,4021,Wo's Maple Curve L/S Tee,100% Combed Cotton (Marles 15% Viscose),180 GSM,,,Regular Fit - 180 GSM,72,10.5,26.42,23.78,21.14,19.82,WOMEN'S LONGSLEEVES,8000
